Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2019,March,Kumba,Southwest,226281,665,2.94,0.29,0.04835074779758246,0.4528301886792452,0.751131221719457,3,0.024994878098750256,0.03359967219832002,0.24545454545454545,0.28741258741258735
2019,April,Kumba,Southwest,226281,883,3.9,0.39,0.037082565048145874,0.584905660377359,0.6063348416289589,4,0.04835074779758246,0.024994878098750256,0.28811188811188815,0.24545454545454545
2019,May,Kumba,Southwest,226281,1086,4.8,0.48,0.0346240524482688,0.5094339622641506,0.6108597285067874,5,0.037082565048145874,0.04835074779758246,0.4405594405594405,0.28811188811188815
2019,June,Kumba,Southwest,226281,1354,5.98,0.6,0.06084818684695759,0.35849056603773555,0.6108597285067874,6,0.0346240524482688,0.037082565048145874,0.5825174825174825,0.4405594405594405
2019,July,Kumba,Southwest,226281,1343,5.94,0.59,0.3597623437820119,0.18867924528301927,0.7692307692307696,7,0.06084818684695759,0.0346240524482688,0.7699300699300698,0.5825174825174825
2019,August,Kumba,Southwest,226281,1339,5.92,0.59,0.4169227617291538,0.056603773584906314,0.9502262443438916,8,0.3597623437820119,0.06084818684695759,0.7622377622377622,0.7699300699300698
2019,September,Kumba,Southwest,226281,1431,6.32,0.63,0.2507682851874616,0.13207547169811296,0.9004524886877832,9,0.4169227617291538,0.3597623437820119,0.7594405594405594,0.7622377622377622
2019,October,Kumba,Southwest,226281,1070,4.73,0.47,0.20200778528989963,0.11320754716981174,0.8733031674208149,10,0.2507682851874616,0.4169227617291538,0.8237762237762238,0.7594405594405594
2019,November,Kumba,Southwest,226281,945,4.17,0.42,0.1380864576930957,0.33962264150943433,0.8371040723981906,11,0.20200778528989963,0.2507682851874616,0.5713286713286713,0.8237762237762238
2019,December,Kumba,Southwest,226281,660,2.92,0.29,0.009834050399508297,0.37735849056603765,0.5520361990950229,12,0.1380864576930957,0.20200778528989963,0.4839160839160839,0.5713286713286713
